ADM1_PCODE,ADM1_REF,ADM0_PCODE,alpha_3,ADM0_REF,population
AF01,Kabul,AF,AFG,Afghanistan,6700513
AF02,Kapisa,AF,AFG,Afghanistan,628640
AF03,Parwan,AF,AFG,Afghanistan,949720
AF04,Maidan Wardak,AF,AFG,Afghanistan,850022
AF05,Logar,AF,AFG,Afghanistan,559218
AF06,Nangarhar,AF,AFG,Afghanistan,2190770
AF07,Laghman,AF,AFG,Afghanistan,635317
AF08,Panjsher,AF,AFG,Afghanistan,218763
AF09,Baghlan,AF,AFG,Afghanistan,1306244
AF10,Bamyan,AF,AFG,Afghanistan,637981
AF11,Ghazni,AF,AFG,Afghanistan,1754091
AF12,Paktika,AF,AFG,Afghanistan,998380
AF13,Paktya,AF,AFG,Afghanistan,787830
AF14,Khost,AF,AFG,Afghanistan,819460
AF15,Kunar,AF,AFG,Afghanistan,642918
AF16,Nuristan,AF,AFG,Afghanistan,210895
AF17,Badakhshan,AF,AFG,Afghanistan,1357036
AF18,Takhar,AF,AFG,Afghanistan,1407252
AF19,Kunduz,AF,AFG,Afghanistan,1463366
AF20,Samangan,AF,AFG,Afghanistan,554212
AF21,Balkh,AF,AFG,Afghanistan,1942929
AF22,Sar E Pul,AF,AFG,Afghanistan,799485
AF23,Ghor,AF,AFG,Afghanistan,984180
AF24,Daykundi,AF,AFG,Afghanistan,664950
AF25,Uruzgan,AF,AFG,Afghanistan,561410
AF26,Zabul,AF,AFG,Afghanistan,494812
AF27,Kandahar,AF,AFG,Afghanistan,1801846
AF28,Jawzjan,AF,AFG,Afghanistan,775125
AF29,Faryab,AF,AFG,Afghanistan,1428019
AF30,Hilmand,AF,AFG,Afghanistan,1861887
AF31,Badghis,AF,AFG,Afghanistan,707535
AF32,Hirat,AF,AFG,Afghanistan,2755910
AF33,Farah,AF,AFG,Afghanistan,724844
AF34,Nimroz,AF,AFG,Afghanistan,236309
BDI001,Bubanza,BDI,BDI,Burundi,534610
BDI002,Bujumbura Rural,BDI,BDI,Burundi,767502
